grid_id,latitude,longitude
1_49,53.345297,-6.384508
1_50,53.346195,-6.384453
1_51,53.347093,-6.384398
1_52,53.34799,-6.384343
1_53,53.348888,-6.384288
1_54,53.349786,-6.384233
1_55,53.350684,-6.384178
1_56,53.351582,-6.384123
1_57,53.35248,-6.384068
1_58,53.353378,-6.384013
1_59,53.354276,-6.383958
1_60,53.355174,-6.383903
1_61,53.356072,-6.383848
1_62,53.35697,-6.383793
1_63,53.357868,-6.383738
1_64,53.358766,-6.383683
1_65,53.359664,-6.383628
1_66,53.360562,-6.383573
1_67,53.36146,-6.383518
1_68,53.362358,-6.383463
1_69,53.363256,-6.383408
1_70,53.364154,-6.383353
1_71,53.365052,-6.383298
1_72,53.365949,-6.383243
1_73,53.366847,-6.383188
1_74,53.367745,-6.383133
1_75,53.368643,-6.383078
1_76,53.369541,-6.383023
1_77,53.370439,-6.382967
1_78,53.371337,-6.382912
1_79,53.372235,-6.382857
1_80,53.373133,-6.382802
1_81,53.374031,-6.382747
1_82,53.374929,-6.382692
1_83,53.375827,-6.382637
1_84,53.376725,-6.382582
1_85,53.377623,-6.382527
1_86,53.378521,-6.382472
1_87,53.379419,-6.382417
1_88,53.380317,-6.382361
1_89,53.381215,-6.382306
1_90,53.382113,-6.382251
1_91,53.38301,-6.382196
1_92,53.383908,-6.382141
1_93,53.384806,-6.382086
1_94,53.385704,-6.382031
1_95,53.386602,-6.381976
1_96,53.3875,-6.381921
1_97,53.388398,-6.381865
1_98,53.389296,-6.38181
1_99,53.390194,-6.381755
1_100,53.391092,-6.3817
1_101,53.39199,-6.381645
1_102,53.392888,-6.38159
1_103,53.393786,-6.381535
1_104,53.394684,-6.381479
1_105,53.395582,-6.381424
1_106,53.39648,-6.381369
1_107,53.397378,-6.381314
1_108,53.398276,-6.381259
1_109,53.399173,-6.381204
1_110,53.400071,-6.381148
1_111,53.400969,-6.381093
1_112,53.401867,-6.381038
1_113,53.402765,-6.380983
1_114,53.403663,-6.380928
1_115,53.404561,-6.380873
1_116,53.405459,-6.380817
1_117,53.406357,-6.380762
1_118,53.407255,-6.380707
1_119,53.408153,-6.380652
1_120,53.409051,-6.380597
1_121,53.409949,-6.380541
1_122,53.410847,-6.380486
1_123,53.411745,-6.380431
1_124,53.412643,-6.380376
1_125,53.413541,-6.380321
1_126,53.414438,-6.380265
2_0,53.301264,-6.3857
2_1,53.302162,-6.385645
2_2,53.30306,-6.385591
2_3,53.303958,-6.385536
2_4,53.304856,-6.385481
2_5,53.305754,-6.385426
2_6,53.306652,-6.385371
2_7,53.30755,-6.385316
2_8,53.308447,-6.385261
2_9,53.309345,-6.385206
2_10,53.310243,-6.385151
2_11,53.311141,-6.385097
2_12,53.312039,-6.385042
2_13,53.312937,-6.384987
2_14,53.313835,-6.384932
2_15,53.314733,-6.384877
2_16,53.315631,-6.384822
2_17,53.316529,-6.384767
2_18,53.317427,-6.384712
2_19,53.318325,-6.384657
2_20,53.319223,-6.384602
2_21,53.320121,-6.384547
2_22,53.321019,-6.384492
2_23,53.321917,-6.384437
2_24,53.322815,-6.384382
2_25,53.323713,-6.384327
2_26,53.324611,-6.384273
2_27,53.325509,-6.384218
2_28,53.326407,-6.384163
2_29,53.327305,-6.384108
2_30,53.328203,-6.384053
2_31,53.329101,-6.383998
2_32,53.329998,-6.383943
